MfgOrderOperationText,count,mean,std,min,max
Assembly,1303,238.69,502.56,3.0,3554.0
Assembly Merge,172,10.16,7.02,3.0,60.0
Bottom Assembly,12,3.0,0.0,3.0,3.0
Bottom Preparation,3,3.0,0.0,3.0,3.0
Brazing,141,21.25,17.2,3.0,78.0
FI,902,58.76,35.14,7.0,178.0
FT,730,2160.41,776.04,831.0,5529.0
Grounding safety test,42,81.62,110.83,3.0,587.0
LT,170,246.48,5.68,238.0,265.0
MAI,708,308.6,219.04,17.0,1033.0
PROP,677,1354.02,448.23,3.0,2700.0
ST,1083,24.88,14.02,3.0,92.0
ST01,173,31.42,3.94,25.0,46.0
ST02,167,15.22,5.14,9.0,31.0
Top Preparation,4,9.25,1.26,8.0,11.0
